%Computational parameters

Geometry = Ellipsoidal particle;
    Cn = [0.002           0      0.0004];
    Particle density = 15 [kg/m^3];
    Particle radius = 0.002 [m];
    Initial position = [0.002 0 0] [m];
    Initial orientation = [pi/6 0 0] [rad];

Boundary condition = B.C. (default: Sound-hard);

Medium = Medium (default: Air);
    Fluid density = 1.224 [kg/m^3];
    Fluid sound speed = 340 [m/s];
    Fluid dynamic viscosity = 0.0000185 [Pa s];

Wave type = Transducer array (circular oscillator);
    Frequency = 40000 [Hz];
    Integration radius = 0.005 [m];
    Transducer number = 5;
    Transducer radius = 0.005 [m];
    Transducer vibration radial velocity = 1.5 [m/s];
    Interdistance between the particle and the array = 0.02 [m];
    Transducer position matrix = [0 0 0; 0.01 0 0; -0.01 0 0; 0 0.01 0; 0 -0.01 0] [m];
    Transducer phase delay = [0 0 0 0 0] [rad];
    Transducer relative amplitude delay = [1 1 1 1 1];



%Dynamic data:

Time [ms]     X_position [m]     Y_position [m]     Z_position [m]     X_angle [rad]     Y_angle [rad]     Z_angle [rad]
0.000000  0.002000  0.000000  0.000000  0.523600  0.000000  0.000000  
0.100000  0.001989  0.000278  0.000672  0.684984  -0.005236  -0.003023  
0.200000  0.001956  0.000612  0.001534  0.865090  -0.011942  -0.007284  
0.300000  0.001901  0.000959  0.002574  1.039798  -0.018579  -0.011856  
0.400000  0.001828  0.001264  0.003759  1.180908  -0.023876  -0.015698  
0.500000  0.001749  0.001491  0.005013  1.279004  -0.027541  -0.018454  
0.600000  0.001674  0.001647  0.006245  1.345140  -0.029994  -0.020284  
0.700000  0.001608  0.001754  0.007420  1.390976  -0.031684  -0.021500  
0.800000  0.001550  0.001829  0.008532  1.423767  -0.032893  -0.022340  
0.900000  0.001501  0.001884  0.009584  1.447894  -0.033786  -0.022954  
1.000000  0.001460  0.001924  0.010580  1.466082  -0.034465  -0.023432  
1.100000  0.001425  0.001954  0.011524  1.480075  -0.034991  -0.023825  
1.200000  0.001396  0.001978  0.012421  1.491041  -0.035408  -0.024167  
1.300000  0.001371  0.001997  0.013273  1.499796  -0.035743  -0.024475  
1.400000  0.001351  0.002012  0.014083  1.506875  -0.036017  -0.024761  
1.500000  0.001334  0.002025  0.014854  1.512681  -0.036244  -0.025033  
1.600000  0.001320  0.002036  0.015588  1.517510  -0.036435  -0.025296  
1.700000  0.001309  0.002046  0.016289  1.521575  -0.036597  -0.025552  
1.800000  0.001300  0.002054  0.016956  1.525024  -0.036736  -0.025803  
1.900000  0.001293  0.002061  0.017594  1.527992  -0.036856  -0.026050  
2.000000  0.001287  0.002068  0.018203  1.530557  -0.036962  -0.026295  
2.100000  0.001283  0.002074  0.018786  1.532789  -0.037054  -0.026537  
2.200000  0.001281  0.002079  0.019343  1.534758  -0.037136  -0.026777  
2.300000  0.001279  0.002084  0.019876  1.536496  -0.037209  -0.027015  
2.400000  0.001279  0.002089  0.020387  1.538049  -0.037275  -0.027252  
2.500000  0.001280  0.002093  0.020877  1.539448  -0.037335  -0.027487  
2.600000  0.001281  0.002098  0.021347  1.540707  -0.037390  -0.027722  
2.700000  0.001283  0.002102  0.021799  1.541840  -0.037439  -0.027954  
2.800000  0.001286  0.002106  0.022232  1.542874  -0.037484  -0.028186  
2.900000  0.001290  0.002109  0.022648  1.543809  -0.037526  -0.028416  
3.000000  0.001294  0.002113  0.023048  1.544670  -0.037564  -0.028645  
3.100000  0.001298  0.002117  0.023432  1.545456  -0.037600  -0.028873  
3.200000  0.001303  0.002120  0.023802  1.546180  -0.037633  -0.029100  
3.300000  0.001309  0.002123  0.024159  1.546852  -0.037664  -0.029326  
3.400000  0.001315  0.002126  0.024502  1.547472  -0.037693  -0.029551  
3.500000  0.001321  0.002129  0.024832  1.548052  -0.037720  -0.029775  
3.600000  0.001328  0.002132  0.025150  1.548590  -0.037745  -0.029998  
3.700000  0.001335  0.002135  0.025457  1.549097  -0.037769  -0.030221  
3.800000  0.001342  0.002138  0.025752  1.549572  -0.037792  -0.030443  
3.900000  0.001349  0.002141  0.026037  1.550015  -0.037813  -0.030663  
4.000000  0.001357  0.002144  0.026312  1.550436  -0.037834  -0.030884  
4.100000  0.001365  0.002147  0.026577  1.550834  -0.037853  -0.031103  
4.200000  0.001373  0.002149  0.026833  1.551209  -0.037872  -0.031322  
4.300000  0.001381  0.002152  0.027080  1.551560  -0.037890  -0.031541  
4.400000  0.001390  0.002155  0.027318  1.551887  -0.037906  -0.031758  
4.500000  0.001399  0.002157  0.027548  1.552199  -0.037922  -0.031975  
4.600000  0.001408  0.002160  0.027770  1.552496  -0.037937  -0.032192  
4.700000  0.001417  0.002162  0.027985  1.552778  -0.037952  -0.032409  
4.800000  0.001426  0.002164  0.028192  1.553044  -0.037966  -0.032624  
4.900000  0.001435  0.002167  0.028392  1.553304  -0.037980  -0.032840  
5.000000  0.001445  0.002169  0.028585  1.553546  -0.037993  -0.033055  
5.100000  0.001454  0.002171  0.028771  1.553782  -0.038005  -0.033270  
5.200000  0.001464  0.002174  0.028951  1.554000  -0.038017  -0.033484  
5.300000  0.001474  0.002176  0.029125  1.554210  -0.038029  -0.033698  
5.400000  0.001484  0.002178  0.029293  1.554412  -0.038040  -0.033912  
5.500000  0.001494  0.002180  0.029455  1.554605  -0.038051  -0.034126  
